CustomerID,CustomerName,Region
CUST0001,Allison Hill,North
CUST0002,Noah Rhodes,North
CUST0003,Angie Henderson,East
CUST0004,Daniel Wagner,South
CUST0005,Cristian Santos,South
CUST0006,Connie Lawrence,South
CUST0007,Abigail Shaffer,North
CUST0008,Gina Moore,North
CUST0009,Gabrielle Davis,West
CUST0010,Ryan Munoz,North
CUST0011,Monica Herrera,North
CUST0012,Jamie Arnold,North
CUST0013,Lisa Hensley,South
CUST0014,Michele Williams,South
CUST0015,Dylan Miller,North
CUST0016,Brian Ramirez,South
CUST0017,Holly Wood,West
CUST0018,Derek Zuniga,South
CUST0019,Lisa Jackson,West
CUST0020,Carla Gray,East
CUST0021,Margaret Hawkins DDS,North
CUST0022,Patty Perez,South
CUST0023,Ethan Adams,West
CUST0024,Tommy Walter,East
CUST0025,Matthew Foster,East
CUST0026,Judy Baker,South
CUST0027,Justin Baker,South
CUST0028,Stephanie Ross,East
CUST0029,Zachary Hicks,North
CUST0030,Anthony Rodriguez,North
CUST0031,Rebecca Henderson,West
CUST0032,James Ferrell,North
CUST0033,Tricia Valencia,East
CUST0034,Nathan Maldonado,East
CUST0035,Debra Davidson,East
CUST0036,Jeffrey Chavez,North
CUST0037,Sherri Baker,West
CUST0038,Cassandra Gaines,North
CUST0039,Elizabeth Fowler,West
CUST0040,Brittany Farmer,North
CUST0041,Paula Moreno,East
CUST0042,Fred Smith,East
CUST0043,Sherry Decker,South
CUST0044,Anthony Humphrey,North
CUST0045,Angelica Tucker,North
CUST0046,Philip Cannon,South
CUST0047,John Pierce,East
CUST0048,Shane Henderson,North
CUST0049,Joshua Blair,South
CUST0050,Eric Carney,North
CUST0051,Jessica Holmes,West
CUST0052,Danny Morgan,East
CUST0053,Crystal Robinson,West
CUST0054,Mark Perez,East
CUST0055,Shannon Jones,South
CUST0056,Michael Lewis,East
CUST0057,Timothy Duncan,East
CUST0058,Richard Aguirre,South
CUST0059,Brent Jordan,East
CUST0060,John Daniel,North
CUST0061,Victoria Garcia,South
CUST0062,Gerald Hensley,South
CUST0063,Connor West,South
CUST0064,Donald Wright,West
CUST0065,Jessica Callahan,West
CUST0066,Amber Kidd,East
CUST0067,Tracy House,South
CUST0068,Carol Tucker,East
CUST0069,James Brown,North
CUST0070,William Baker,South
CUST0071,Jordan Henderson,North
CUST0072,Whitney Peters,East
CUST0073,Brittney Phillips,West
CUST0074,Lauren Daniels,East
CUST0075,Amy Silva,North
CUST0076,Sarah Moore,South
CUST0077,Angela Lopez,East
CUST0078,Megan Young,South
CUST0079,Steve Sanchez,West
CUST0080,Lisa Barnes,West
CUST0081,Kelly Donovan,West
CUST0082,Mike Allen,South
CUST0083,Michael Evans,East
CUST0084,Paul Jones,South
CUST0085,Zachary Ferrell,South
CUST0086,Daniel Baker,East
CUST0087,Shirley Suarez,West
CUST0088,Christopher Bass,West
CUST0089,Lisa Archer,East
CUST0090,Aimee Montoya,South
CUST0091,Matthew Mcmillan,South
CUST0092,Brian Rodriguez,West
CUST0093,Denise Jacobs,North
CUST0094,Christina Walters,North
CUST0095,John Whitehead,North
CUST0096,Anna Henderson,South
CUST0097,Aaron Wise,South
CUST0098,Deborah Figueroa,West
CUST0099,Jessica Smith,North
CUST0100,Stephen Mckee,West
